ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;2;4;4;3;5;3;4;3;1;4;3;2;5;3;3;3
2;5;4;1;4;3;5;4;5;3;2;4;1;3;5;2;4
3;3;4;2;4;1;1;4;4;5;2;3;1;2;3;4;1
4;2;4;4;3;5;3;4;2;1;5;2;3;5;4;4;4
5;4;5;3;5;1;3;2;3;5;1;4;1;1;4;2;1
6;5;5;1;3;2;3;5;4;3;3;5;1;2;3;1;2
7;4;3;3;4;5;4;4;4;4;5;4;3;5;4;3;4
8;2;5;4;3;3;4;4;3;1;2;5;1;3;4;4;5
9;1;4;3;5;2;1;2;3;5;3;3;3;2;3;5;3
10;2;4;3;2;4;2;4;3;1;5;2;3;5;4;3;2
11;2;4;3;4;4;5;5;5;5;2;5;1;2;4;3;4
12;3;4;1;4;3;4;1;3;5;2;2;1;4;4;1;3
13;2;4;1;5;2;3;3;5;4;2;4;1;1;2;1;3
14;1;4;1;3;3;4;4;4;4;2;4;1;1;4;1;3
15;3;4;3;3;2;2;4;3;2;3;2;1;5;4;3;2
16;5;4;1;3;5;5;5;3;4;5;3;4;4;2;1;1
17;1;4;5;2;4;3;3;2;2;4;2;5;5;3;5;3
18;2;4;2;4;5;5;3;5;4;3;5;1;1;3;2;3
19;4;5;4;1;3;4;5;5;1;4;2;1;4;5;5;2
20;4;4;1;3;3;3;4;4;1;1;2;1;1;1;1;2
21;3;4;2;4;3;3;4;4;4;4;3;2;4;4;2;3
22;1;4;3;3;2;3;4;4;3;2;3;2;2;4;3;4
23;4;4;4;3;4;4;3;5;1;2;3;1;2;4;3;2
24;2;4;1;5;3;2;2;3;5;3;3;1;3;3;1;2
25;5;4;1;5;4;2;4;5;5;1;4;1;1;3;1;3
26;4;4;3;2;2;2;4;5;2;3;2;1;4;4;2;2
27;3;4;3;4;1;5;1;4;4;4;5;1;5;5;5;2
28;4;4;2;3;3;3;4;4;4;5;3;2;4;5;2;2
29;4;4;4;4;2;1;4;5;3;1;5;1;1;3;4;1
30;2;5;2;5;1;5;5;5;5;1;3;1;3;5;1;2
31;2;4;2;5;2;2;4;4;4;2;2;2;2;4;3;2
32;3;4;2;2;3;5;5;5;1;2;5;1;2;4;1;1
33;3;2;3;2;4;3;3;2;4;2;4;1;1;1;2;2
34;4;5;4;5;5;2;5;5;2;5;3;2;5;5;2;1
35;5;4;2;3;4;4;3;4;4;3;3;1;1;3;1;3
36;1;5;2;4;1;1;1;1;4;1;1;1;1;1;1;1
37;4;4;2;4;5;5;5;4;4;4;3;3;3;4;2;3
38;4;4;1;5;3;2;4;4;5;2;2;1;4;5;3;1
39;2;4;4;5;3;2;4;4;5;3;3;3;4;4;3;2
40;1;4;1;4;4;2;3;5;3;4;3;1;4;4;1;2
41;1;3;4;2;1;2;5;5;2;3;3;4;1;5;3;3
42;4;3;2;5;5;4;4;3;5;3;5;1;2;4;2;2
43;4;4;2;5;3;4;4;4;5;2;5;1;2;3;1;4
44;3;3;2;5;5;5;5;5;3;5;4;3;5;5;2;3
45;2;4;4;3;2;1;4;4;3;2;2;3;2;3;3;2
